CRN , Subject , Course Number , Section , Title ,  Credits , College , Actual Enroll , Seats Available ,Begin Time , End Time, Buildings, Room , Monday , Tuesday , Wednesday , Thursday , Friday , Saturday , Instructor First , Instructor Last
10179,AROL,101,2,Introduction to Archaeology,3,AS,26,-1,11:00,12:15,NICELY,415,false,true,false,true,false,false,Jack,Nurpetlian
10180,AROL,201,1,Archaeology in Lebanon,3,AS,14,11,09:30,10:45,POST,207,false,true,false,true,false,false,Helene,Sader
10181,AROL,211,1,Methodology,3,AS,25,0,12:30,13:45,POST,207,false,true,false,true,false,false,Jack,Nurpetlian
10182,AROL,211,2,Methodology,3,AS,25,0,14:00,15:15,POST,207,false,true,false,true,false,false,Jack,Nurpetlian
10183,AROL,213,1,Old Stone Age(Up to 10.000 BC),3,AS,23,2,08:00,08:50,POST,207,true,false,true,false,true,false,Hermann,Genz
10184,AROL,220,1,Anc.Mesopotamia:Assyria&Babylo,3,AS,9,16,12:30,13:45,POST,203,false,true,false,true,false,false,Helene,Sader
10185,AROL,223,1,Archaeol. of Hellenistic World,3,AS,22,3,11:00,12:15,NICELY,209,false,true,false,true,false,false,Paul Graham,Newson
10186,AROL,225,1,Roman & Byzantine Near East,3,AS,19,6,14:00,15:15,NICELY,318,false,true,false,true,false,false,Paul Graham,Newson
10187,AROL,232,1,Animals in Archaeology,3,AS,25,0,15:00,16:15,POST,207,false,false,true,false,true,false,Hermann,Genz
10188,AROL,235AF,1,ST:Origins&Growth of Agricult.,3,AS,19,6,17:00,18:15,NICELY,327,false,true,false,true,false,false,Claire Joanna,Malleson
